id,name,api_football_id,fd_name,rating_mu,rating_sigma
695,Racing Club,436,Racing Club,1519.4867602013574,2.33996899454535
698,Lanus,446,Lanus,1517.1469619925588,2.3286667009846647
700,Boca Juniors,451,Boca Juniors,1521.7409908268362,2.427838163130084
701,Newells Old Boys,457,Newells Old Boys,1508.829912178693,2.495183240395667
702,Independiente,453,Independiente,1516.2387153016869,2.4640230056363723
705,San Lorenzo,460,San Lorenzo,1514.3877301644832,2.414874930658907
707,River Plate,435,River Plate,1518.3402438421472,2.44618008380521
708,Belgrano,440,Belgrano,1515.573396959189,2.5780059423654618
709,Tigre,452,Tigre,1516.8850555612382,2.517511518768062
710,Estudiantes L.P.,450,Estudiantes L.P.,1518.726766229222,2.3679061360727367
712,Gimnasia L.P.,434,Gimnasia L.P.,1512.5775343405744,2.478621355225724
713,Rosario Central,437,Rosario Central,1517.9164445114452,2.4345619522056334
714,Banfield,449,Banfield,1511.7487806293218,2.5096582380856107
715,Defensa y Justicia,442,Defensa y Justicia,1514.1519141858785,2.423393440434804
719,Huracan,445,Huracan,1514.9422028170754,2.422374617705113
720,Sarmiento Junin,474,Sarmiento Junin,1510.0583749146897,2.5907090882304833
723,Atl. Tucuman,455,Atl. Tucuman,1509.010592838818,2.49422896772507
724,Talleres Cordoba,456,Talleres Cordoba,1513.181901565198,2.413975165915518
727,Central Cordoba,1065,Central Cordoba,1514.0097995286135,2.447396269251314
728,Platense,1064,Platense,1510.992348616409,2.4664783070688645
729,Barracas Central,2432,Barracas Central,1515.7516669987635,2.5571104109153056
731,Instituto,478,Instituto,1512.085644981946,2.6788206705771693
732,Dep. Riestra,,Dep. Riestra,1513.5284655590972,3.2336819970142545
733,Ind. Rivadavia,,Ind. Rivadavia,1516.9734025897023,3.2947609413475556
734,Gimnasia Mendoza,,Gimnasia Mendoza,1347.7323507662052,93.1041434174844
735,Estudiantes Rio Cuarto,,Estudiantes Rio Cuarto,1182.5234364708554,137.97160606960284
771,Aarhus,406,Aarhus,1535.4984071750912,2.906077043599261
774,Randers FC,401,Randers FC,1527.1652030634057,2.89900838799139
776,Silkeborg,2073,Silkeborg,1524.4863693812092,2.9862137557212822
777,Brondby,407,Brondby,1530.4997804997936,2.9254624442601314
778,Odense,405,Odense,1526.4444834528847,3.2672615127408178
779,FC Copenhagen,400,FC Copenhagen,1531.5164064113499,3.0236084756715225
780,Midtjylland,397,Midtjylland,1547.81698190412,3.0542148894378
782,Nordsjaelland,398,Nordsjaelland,1530.8756231932134,2.9351890253187056
783,Viborg,2070,Viborg,1530.2729953022615,2.993766908931444
786,Lyngby,625,Lyngby,1519.465882124384,3.505254837603094
